description,amount,category
Hospital checkup via Net Banking (PhonePe),15018,Healthcare
Dominos order via Cash (SBI),6692,Food
Swiggy order via UPI (HDFC),3485,Food
Zomato food delivery via Credit Card (HDFC),9549,Food
Doctor visit via UPI (GPay),11171,Healthcare
Street food via Debit Card (Paytm),9581,Food
Mutual fund purchase via UPI (PhonePe),5016,Investment
Crypto purchase via Debit Card (GPay),16448,Investment
NEFT transfer via Cash (Paytm),3007,Transfer
PPF deposit via UPI (Kotak),4331,Investment
Ajio shopping via Net Banking (Axis Bank),16686,Shopping
Hospital checkup via Net Banking (GPay),13492,Healthcare
NEFT transfer via Debit Card (SBI),15683,Transfer
Amazon shopping via Cash (Kotak),10020,Shopping
Cafe coffee via Cash (HDFC),7972,Food
College fee via Debit Card (Axis Bank),18939,Education
Supermarket shopping via Cash (Axis Bank),11039,Shopping
Pharmacy bill via Debit Card (PhonePe),13359,Healthcare
Bank transfer via Net Banking (PhonePe),8892,Transfer
FD investment via Debit Card (Paytm),5827,Investment
Petrol pump via Debit Card (GPay),12373,Travel
Petrol pump via Credit Card (HDFC),9153,Travel
Water bill via Debit Card (Axis Bank),19868,Bills
PPF deposit via Credit Card (GPay),12347,Investment
Health insurance premium via UPI (Paytm),5287,Healthcare
Netflix subscription via Debit Card (PhonePe),11605,Entertainment
Course fee via UPI (PhonePe),12221,Education
Internet recharge via UPI (HDFC),9415,Bills
KFC meal via Cash (Paytm),15046,Food
Health insurance premium via Net Banking (Axis Bank),2534,Healthcare
Doctor visit via Debit Card (HDFC),10210,Healthcare
Book purchase via Cash (GPay),254,Education
Wallet transfer via UPI (Kotak),6902,Transfer
Medical store purchase via Cash (SBI),16022,Healthcare
Myntra order via Net Banking (SBI),4304,Shopping
Wallet transfer via Net Banking (Axis Bank),17516,Transfer
YouTube Premium via Cash (GPay),18377,Entertainment
Wallet transfer via UPI (Paytm),2164,Transfer
Supermarket shopping via Cash (Axis Bank),1349,Shopping
IMPS transfer via Cash (GPay),9385,Transfer
Mutual fund purchase via UPI (SBI),17019,Investment
Concert ticket via Credit Card (PhonePe),9694,Entertainment
SIP investment via Net Banking (Kotak),252,Investment
Clothing purchase via Cash (Kotak),17634,Shopping
Coaching class fee via Cash (Kotak),16502,Education
KFC meal via Cash (SBI),221,Food
Netflix subscription via Net Banking (Axis Bank),587,Entertainment
Theme park ticket via UPI (SBI),18976,Entertainment
IMPS transfer via Net Banking (Kotak),14569,Transfer
Train ticket via UPI (PhonePe),15202,Travel
Wallet transfer via Cash (SBI),14022,Transfer
Credit card bill via Credit Card (SBI),764,Bills
Dominos order via Credit Card (Axis Bank),1317,Food
Concert ticket via Debit Card (Paytm),11713,Entertainment
Pizza order via Net Banking (Paytm),18197,Food
Credit card bill via UPI (SBI),11869,Bills
Hospital checkup via Debit Card (Kotak),10254,Healthcare
UPI transfer via Cash (HDFC),13139,Transfer
Water bill via Credit Card (Axis Bank),11237,Bills
Netflix subscription via Net Banking (PhonePe),11827,Entertainment
Water bill via Cash (Axis Bank),10264,Bills
Dominos order via Debit Card (GPay),18826,Food
Auto fare via Credit Card (ICICI),1794,Travel
Cafe coffee via Credit Card (Paytm),12168,Food
Hospital checkup via UPI (PhonePe),7325,Healthcare
PPF deposit via Net Banking (HDFC),8519,Investment
Concert ticket via Debit Card (ICICI),18621,Entertainment
Gas bill via Credit Card (SBI),8809,Bills
Grocery shopping via Cash (PhonePe),11416,Food
IMPS transfer via Credit Card (Axis Bank),17470,Transfer
Gas bill via Cash (PhonePe),9256,Bills
Supermarket shopping via Net Banking (Axis Bank),8937,Shopping
Udemy course via UPI (PhonePe),17645,Education
Flipkart order via UPI (SBI),18438,Shopping
Doctor visit via Cash (HDFC),5424,Healthcare
Electricity bill via Debit Card (Kotak),16989,Bills
Pharmacy bill via UPI (GPay),5016,Healthcare
Rapido ride via Credit Card (GPay),5332,Travel
Swiggy order via Debit Card (SBI),17754,Food
Udemy course via UPI (HDFC),17053,Education
Theme park ticket via UPI (PhonePe),8834,Entertainment
Spotify subscription via Credit Card (PhonePe),14930,Entertainment
Supermarket shopping via Debit Card (Axis Bank),2622,Shopping
Supermarket shopping via UPI (SBI),14165,Shopping
Game purchase via UPI (Paytm),5906,Entertainment
Electronics purchase via Credit Card (HDFC),14112,Shopping
Clothing purchase via Credit Card (Paytm),10499,Shopping
Grocery shopping via Cash (GPay),6225,Food
Uber ride via Credit Card (HDFC),15522,Travel
Flipkart order via Debit Card (Kotak),4602,Shopping
Mobile recharge via Credit Card (Kotak),7206,Bills
Cafe coffee via Credit Card (HDFC),14968,Food
Myntra order via Net Banking (HDFC),6745,Shopping
DTH recharge via Credit Card (SBI),10308,Bills
Course fee via Cash (Paytm),430,Education
Ola cab via UPI (PhonePe),9459,Travel
Pizza order via Debit Card (HDFC),2816,Food
Exam fee via Net Banking (GPay),6212,Education
Concert ticket via Credit Card (Kotak),19325,Entertainment
Spotify subscription via UPI (PhonePe),17215,Entertainment
Udemy course via Net Banking (Kotak),5915,Education
Bank transfer via Credit Card (Paytm),18613,Transfer
Street food via Credit Card (PhonePe),351,Food
SIP investment via Credit Card (Paytm),154,Investment
Hospital checkup via Cash (HDFC),15341,Healthcare
Auto fare via Cash (ICICI),6163,Travel
Coaching class fee via Cash (Axis Bank),8277,Education
NEFT transfer via Credit Card (PhonePe),19911,Transfer
Flipkart order via Debit Card (HDFC),5080,Shopping
Doctor visit via Credit Card (SBI),10453,Healthcare
Supermarket shopping via UPI (ICICI),9085,Shopping
Mobile recharge via Net Banking (HDFC),1960,Bills
Street food via Net Banking (GPay),6873,Food
Book purchase via Cash (GPay),9246,Education
UPI transfer via Cash (SBI),13927,Transfer
Stock investment via Credit Card (PhonePe),3605,Investment
Diagnostic test via Credit Card (SBI),7432,Healthcare
Electricity bill via UPI (Paytm),9595,Bills
Amazon shopping via Net Banking (ICICI),19254,Shopping
Street food via Cash (HDFC),16286,Food
Local market purchase via Net Banking (GPay),10643,Shopping
NEFT transfer via UPI (ICICI),5258,Transfer
Gas bill via UPI (Kotak),18845,Bills
Udemy course via Credit Card (Kotak),6228,Education
Internet recharge via Debit Card (Kotak),14367,Bills
Credit card bill via Debit Card (Kotak),8326,Bills
Bank transfer via Net Banking (Kotak),18316,Transfer
FD investment via Debit Card (Kotak),14468,Investment
Exam fee via Credit Card (PhonePe),2636,Education
Electricity bill via Debit Card (Kotak),16746,Bills
Hospital checkup via Cash (PhonePe),11236,Healthcare
Petrol pump via Cash (Kotak),2582,Travel
FD investment via Net Banking (PhonePe),11169,Investment
Credit card bill via Credit Card (ICICI),415,Bills
DTH recharge via UPI (Kotak),18907,Bills
Spotify subscription via Debit Card (SBI),10904,Entertainment
Ola cab via Credit Card (ICICI),12635,Travel
Grocery shopping via Net Banking (SBI),4876,Food
Crypto purchase via Cash (GPay),17571,Investment
Bus fare via UPI (SBI),129,Travel
Hospital checkup via Debit Card (HDFC),8368,Healthcare
Theme park ticket via Net Banking (PhonePe),11608,Entertainment
RTGS transfer via Credit Card (HDFC),15624,Transfer
Bank transfer via Cash (GPay),3717,Transfer
Myntra order via Debit Card (PhonePe),3640,Shopping
Water bill via Net Banking (Paytm),10485,Bills
SIP investment via Cash (HDFC),6986,Investment
Pharmacy bill via Credit Card (SBI),8870,Healthcare
SIP investment via Cash (GPay),12408,Investment
Book purchase via Credit Card (PhonePe),462,Education
Book purchase via Debit Card (HDFC),15338,Education
Restaurant dinner via Debit Card (PhonePe),4873,Food
UPI transfer via Cash (Kotak),15228,Transfer
Petrol pump via Debit Card (Axis Bank),1056,Travel
Local market purchase via Net Banking (SBI),4850,Shopping
Stock investment via UPI (Axis Bank),4827,Investment
IMPS transfer via UPI (Kotak),1534,Transfer
Online certification via Debit Card (Kotak),7553,Education
Electricity bill via Credit Card (PhonePe),18723,Bills
Diesel refill via UPI (Paytm),1485,Travel
Swiggy order via Debit Card (ICICI),18382,Food
Myntra order via Net Banking (GPay),6613,Shopping
Crypto purchase via Net Banking (Kotak),10299,Investment
Bakery purchase via UPI (ICICI),2719,Food
Myntra order via Debit Card (SBI),10165,Shopping
College fee via Debit Card (GPay),1015,Education
Mutual fund purchase via Net Banking (ICICI),3732,Investment
Stock investment via Cash (Axis Bank),18909,Investment
Wallet transfer via Credit Card (ICICI),8502,Transfer
Book purchase via Net Banking (Kotak),14924,Education
Myntra order via Net Banking (Axis Bank),3573,Shopping
Uber ride via Net Banking (Paytm),13859,Travel
Doctor visit via Debit Card (Kotak),6091,Healthcare
Concert ticket via Credit Card (Kotak),5268,Entertainment
Swiggy order via UPI (Kotak),3095,Food
Myntra order via Debit Card (GPay),18534,Shopping
Flipkart order via Cash (SBI),1940,Shopping
Clothing purchase via Cash (Kotak),2891,Shopping
SIP investment via UPI (PhonePe),13404,Investment
Health insurance premium via UPI (HDFC),10856,Healthcare
Ola cab via UPI (HDFC),6817,Travel
Book purchase via UPI (GPay),10330,Education
Bakery purchase via Cash (HDFC),10652,Food
Medical store purchase via UPI (ICICI),12551,Healthcare
Uber ride via Net Banking (HDFC),8500,Travel
Water bill via Credit Card (GPay),18660,Bills
Crypto purchase via Credit Card (PhonePe),8847,Investment
Udemy course via Net Banking (PhonePe),10582,Education
YouTube Premium via Credit Card (GPay),14752,Entertainment
Doctor visit via Net Banking (SBI),18643,Healthcare
PPF deposit via Credit Card (HDFC),4634,Investment
Health insurance premium via Debit Card (Paytm),10276,Healthcare
Uber ride via UPI (GPay),12032,Travel
NEFT transfer via Debit Card (ICICI),8987,Transfer
Mobile recharge via Cash (Kotak),7057,Bills
Exam fee via Debit Card (GPay),1498,Education
Stock investment via Credit Card (HDFC),4000,Investment
Uber ride via Credit Card (ICICI),12400,Travel
Doctor visit via UPI (Kotak),5105,Healthcare
PPF deposit via Net Banking (Kotak),17723,Investment
Course fee via UPI (Axis Bank),9731,Education
Hospital checkup via Credit Card (Paytm),7652,Healthcare
Uber ride via Net Banking (SBI),3185,Travel
Mutual fund purchase via Debit Card (PhonePe),11695,Investment
Bank transfer via Cash (ICICI),3928,Transfer
Stock investment via UPI (HDFC),5411,Investment
Health insurance premium via Net Banking (ICICI),3577,Healthcare
Game purchase via Credit Card (PhonePe),14572,Entertainment
DTH recharge via Credit Card (PhonePe),11844,Bills
Mobile recharge via UPI (PhonePe),13284,Bills
Flipkart order via Net Banking (Kotak),15800,Shopping
Train ticket via UPI (GPay),3708,Travel
Electricity bill via UPI (HDFC),305,Bills
Petrol pump via Debit Card (PhonePe),19670,Travel
Wallet transfer via Net Banking (Axis Bank),6093,Transfer
Mutual fund purchase via Net Banking (Kotak),5877,Investment
Game purchase via Net Banking (HDFC),13011,Entertainment
YouTube Premium via Debit Card (ICICI),14925,Entertainment
Electricity bill via Credit Card (Axis Bank),5596,Bills
Coaching class fee via Cash (SBI),4910,Education
Grocery shopping via Credit Card (GPay),7294,Food
NEFT transfer via Credit Card (PhonePe),11710,Transfer
RTGS transfer via UPI (ICICI),3886,Transfer
Restaurant dinner via Cash (Kotak),4614,Food
Ajio shopping via Net Banking (PhonePe),7249,Shopping
Bakery purchase via Credit Card (Kotak),18721,Food
DTH recharge via UPI (SBI),2667,Bills
RTGS transfer via Debit Card (Kotak),12828,Transfer
Pharmacy bill via Debit Card (SBI),15558,Healthcare
Concert ticket via Cash (PhonePe),7139,Entertainment
Pharmacy bill via Credit Card (Paytm),17147,Healthcare
Bank transfer via Credit Card (SBI),353,Transfer
Ajio shopping via Cash (Paytm),10160,Shopping
Myntra order via Cash (SBI),18112,Shopping
Bank transfer via Credit Card (PhonePe),597,Transfer
Internet recharge via Cash (Kotak),16149,Bills
Electricity bill via UPI (HDFC),15441,Bills
Wallet transfer via UPI (Kotak),3600,Transfer
Hospital checkup via Net Banking (GPay),6660,Healthcare
Hospital checkup via Net Banking (ICICI),5678,Healthcare
Health insurance premium via UPI (Kotak),18837,Healthcare
Online certification via Credit Card (ICICI),14825,Education
Restaurant dinner via Cash (Kotak),5995,Food
Mobile recharge via Cash (SBI),7371,Bills
Netflix subscription via Credit Card (Axis Bank),18791,Entertainment
Water bill via Credit Card (HDFC),19160,Bills
Theme park ticket via Debit Card (PhonePe),16533,Entertainment
Credit card bill via Cash (Paytm),17779,Bills
Health insurance premium via Debit Card (HDFC),5329,Healthcare
Theme park ticket via Cash (ICICI),10883,Entertainment
PPF deposit via Debit Card (PhonePe),15431,Investment
Movie ticket via Cash (Kotak),11973,Entertainment
Exam fee via Cash (PhonePe),1589,Education
Ola cab via Debit Card (PhonePe),5118,Travel
Dominos order via Net Banking (HDFC),18539,Food
Electronics purchase via UPI (ICICI),13350,Shopping
Stock investment via UPI (Axis Bank),11191,Investment
Coaching class fee via Cash (HDFC),6843,Education
Health insurance premium via Net Banking (GPay),7267,Healthcare
Supermarket shopping via Net Banking (Axis Bank),3330,Shopping
Street food via UPI (PhonePe),7470,Food
Train ticket via UPI (HDFC),8152,Travel
Crypto purchase via Net Banking (HDFC),12888,Investment
NEFT transfer via Debit Card (HDFC),16092,Transfer
Rapido ride via Net Banking (Paytm),12861,Travel
Bakery purchase via Debit Card (Kotak),6934,Food
Flipkart order via Debit Card (PhonePe),799,Shopping
FD investment via Debit Card (SBI),16247,Investment
Restaurant dinner via Net Banking (PhonePe),2718,Food
KFC meal via Net Banking (Kotak),7640,Food
Crypto purchase via Debit Card (HDFC),171,Investment
Swiggy order via Credit Card (Kotak),19977,Food
UPI transfer via UPI (GPay),18354,Transfer
Wallet transfer via Debit Card (Axis Bank),18792,Transfer
Diesel refill via Debit Card (HDFC),10828,Travel
Amazon shopping via Cash (SBI),2836,Shopping
Swiggy order via Debit Card (Paytm),19563,Food
Flight booking via Debit Card (PhonePe),15496,Travel
Grocery shopping via Cash (Axis Bank),5016,Food
Doctor visit via Net Banking (HDFC),6633,Healthcare
Diesel refill via Net Banking (ICICI),6708,Travel
Stock investment via Debit Card (ICICI),18363,Investment
Cafe coffee via Credit Card (Paytm),11076,Food
Train ticket via Cash (Kotak),19850,Travel
Movie ticket via Credit Card (Kotak),576,Entertainment
Theme park ticket via Net Banking (PhonePe),10178,Entertainment
IMPS transfer via Net Banking (Kotak),14763,Transfer
Mobile recharge via Net Banking (SBI),10923,Bills
Exam fee via Cash (SBI),14225,Education
Coaching class fee via UPI (PhonePe),9097,Education
Crypto purchase via Credit Card (Paytm),4043,Investment
PPF deposit via Debit Card (Axis Bank),18344,Investment
Supermarket shopping via Cash (Paytm),19088,Shopping
Ajio shopping via UPI (PhonePe),17532,Shopping
YouTube Premium via Net Banking (GPay),12509,Entertainment
Broadband bill via Net Banking (GPay),17080,Bills
PPF deposit via Cash (PhonePe),11165,Investment
Movie ticket via Debit Card (HDFC),18720,Entertainment
Ola cab via Credit Card (Paytm),16961,Travel
Exam fee via Net Banking (HDFC),13868,Education
Spotify subscription via Credit Card (SBI),18575,Entertainment
Zomato food delivery via Credit Card (HDFC),16312,Food
Bakery purchase via UPI (GPay),5600,Food
UPI transfer via Net Banking (Kotak),2037,Transfer
Myntra order via UPI (HDFC),16056,Shopping
Supermarket shopping via Cash (PhonePe),11282,Shopping
Ajio shopping via UPI (HDFC),11496,Shopping
